year,file,var,russian,english
2012,FG,PER,Период разработки,development period
2012,FG,TER,Шифр территории,cipher territory
2012,FG,MEST,Тип населенного пункта,Type of settlement
2012,FG,BUD,Номер бюджета,number budget
2012,FG,GIL,Условия проживания,living conditions
2012,FG,KSEM,Число семей в квартире,The number of families in the apartment
2012,FG,SOBGIL,Собственник жилья,homeowners
2012,FG,GODSTR,Год постройки жилья,Year built housing
2012,FG,MATER,Материал стен жилья,Wall material housing
2012,FG,ETAG,Число этажей,number of floors
2012,FG,LIFT,Наличие лифта,elevator
2012,FG,OBPL,Общая площадь жилища,The total area of the dwelling
2012,FG,OTPL,Отапливаемая площадь жилища,Heated area home
2012,FG,GILPL,Жилая площадь жилища,Living area home
2012,FG,CHISKOM,Число комнат,number of rooms
2012,FG,IZOLKOM,Число изолированных комнат,The number of separate rooms
2012,FG,RAZMGIL,Мнение о размере жилья,Opinion on the amount of property
2012,FG,KUHNY,Наличие благоустройства в жилище: кухня,The presence in the home improvement kitchen
2012,FG,VANNA,Наличие благоустройства в жилище: ванна,The presence in the home improvement bathtub
2012,FG,TUALET,Наличие благоустройства в жилище: туалет,The presence of improvement in housing: toilet
2012,FG,KANALO,Наличие благоустройства в жилище: Тип канализации,The presence of improvement in housing: Sewage
2012,FG,ELEKT,Наличие благоустройства в жилище: электричество,The presence of improvement in housing: electricity
2012,FG,ELEKTPL,Наличие благоустройства в жилище: электроплита напольная,The presence of improvement in housing: electric floor
2012,FG,GAZM,Наличие благоустройства в жилище: газ сетевой,The presence of improvement in housing: gas network
2012,FG,GAZS,Наличие благоустройства в жилище: газ сжиженный,The presence of improvement in housing: liquefied gas
2012,FG,MUSOR,Наличие благоустройства в жилище: мусоропровод,The presence of improvement in housing: a garbage disposal
2012,FG,TELEF,Наличие благоустройства в жилище: телефон квартирный,The presence of improvement in housing: apartment phone
2012,FG,VODOPR,Наличие благоустройства в жилище: Тип водопровода,The presence of improvement in housing: Type of water supply
2012,FG,VODA,Наличие благоустройства в жилище: Источник питьевой воды,The presence of improvement in housing: Source of drinking water
2012,FG,GORVODO,Наличие благоустройства в жилище: Тип горячего водоснабжения,The presence of improvement in housing: Hot water type
2012,FG,OTOPL,Наличие благоустройства в жилище: Тип отопления,The presence of improvement in housing: Type of heating
2012,FG,TOPLIVO,Наличие благоустройства в жилище: Основной вид топлива для отопления,The presence of improvement in housing: The main type of heating fuel
2012,FG,OBESTOP,Наличие благоустройства в жилище: Обеспеченность топливом,The presence of improvement in housing: providing fuel
2012,FG,DOPKONV,Использование дополнительного источника отопления: конвектора,The use of an additional source of heating: convector
2012,FG,DOPTEPP,Использование дополнительного источника отопления: системы «теплый пол»,"The use of an additional source of heating: the system ""warm floor"""
2012,FG,DOPOBOR,Использование дополнительного источника отопления: другого оборудования,The use of an additional source of heating: other equipment
2012,FG,DOPNET,Использование дополнительного источника отопления: не используют,The use of an additional source of heating: do not use
2012,FG,CHETELO,Оборудование приборами учета: электричества - однотарифным,Equipment metering devices: electricity - one tariff
2012,FG,CHETELM,Оборудование приборами учета: электричества - многотарифным,Equipment metering devices: electricity - multirate
2012,FG,CHETGAZ,Оборудование приборами учета: сетевого газа,Equipment metering devices: gas network
2012,FG,CHETHOLV,Оборудование приборами учета: холодной воды,Equipment metering devices: cold water
2012,FG,CHETGORV,Оборудование приборами учета: горячей воды,Equipment metering devices: hot water
2012,FG,CHETTEP,Оборудование приборами учета: тепла,Equipment metering devices: heat
2012,FG,NZELM,Причины отказа от установки прибора учета: не знаю о существовании: электричества - многотарифного,Reasons for non-installation of meters: I do not know about the existence of: Electricity - multitariff
2012,FG,NZVOD,Причины отказа от установки прибора учета: не знаю о существовании: воды,Reasons for non-installation of meters: I do not know about the existence of: water
2012,FG,NZTEP,Причины отказа от установки прибора учета: не знаю о существовании: тепла,Reasons for non-installation of meters: I do not know about the existence of: Heat
2012,FG,PRELM,Причины отказа от установки прибора учета: установка не предлагалась: электричества - многотарифного,Reasons for non-installation of meters: installation was not offered: electricity - multitariff
2012,FG,PRVOD,Причины отказа от установки прибора учета: установка не предлагалась: воды,Reasons for non-installation of meters: installation was not offered: water
2012,FG,PRTEP,Причины отказа от установки прибора учета: установка не предлагалась: тепла,Reasons for non-installation of meters: installation was not offered: heat
2012,FG,DORELM,Причины отказа от установки прибора учета: дорого: электричества - многотарифного,Reasons for non-installation of meters: expensive: electricity - multitariff
2012,FG,DORVOD,Причины отказа от установки прибора учета: дорого: воды,Reasons for non-installation of meters: expensive: water
2012,FG,DORTEP,Причины отказа от установки прибора учета: дорого: тепла,Reasons for non-installation of meters: expensive: heat
2012,FG,TTELM,Причины отказа от установки прибора учета: технические трудности: электричества - многотарифного,Reasons for non-Installation of technical challenges: electricity - multitariff
2012,FG,TTVOD,Причины отказа от установки прибора учета: технические трудности: воды,Reasons for non-Installation of technical challenges: water
2012,FG,TTTEP,Причины отказа от установки прибора учета: технические трудности: тепла,Reasons for non-installation of meters: technical difficulties: heat
2012,FG,NETELM,Причины отказа от установки прибора учета: нет необходимости: электричества - многотарифного,Reasons for non-installation of metering devices: there is no need: electricity - multitariff
2012,FG,NETVOD,Причины отказа от установки прибора учета: нет необходимости: воды,Reasons for non-installation of metering devices: there is no need: water
2012,FG,NETTEP,Причины отказа от установки прибора учета: нет необходимости: тепла,Reasons for non-installation of metering devices: there is no need: heat
2012,FG,DRELM,Причины отказа от установки прибора учета: другое: электричества - многотарифного,Reasons for non-installation of meters: Other: Electricity - multitariff
